static,update,url,pfp_url,init_game,init_monkey,init_bloon,name,game_count,monkeys_placed,bloons_popped,time,time_game_time,tiers,tiers_game_time,cash,cash_game_time,daily_chest,init_follower,follower,time_ago,init_dart,init_boomer,init_bomb,init_tack,init_ice,init_glue,init_sniper,init_sub,init_boat,init_ace,init_heli,init_mortar,init_dartling,init_wizard,init_super,init_ninja,init_alch,init_druid,init_merm,init_farm,init_spac,init_village,init_engie,init_beast,init_brickell,init_adora,init_benjamin,init_churchill,init_corvus,init_etienne,init_ezili,init_geraldo,init_gwendolin,init_obyn,init_pat,init_psi,init_quincy,init_rosalia,init_sauda,init_jones,dart,boomer,bomb,tack,ice,glue,sniper,sub,boat,ace,heli,mortar,dartling,wizard,super,ninja,alch,druid,merm,farm,spac,village,engie,beast,brickell,adora,benjamin,churchill,corvus,etienne,ezili,geraldo,gwendolin,obyn,pat,psi,quincy,rosalia,sauda,jones,last_online,last_online_time,last_update,scoringType
,,https://data.ninjakiwi.com/btd6/users/9fbe448f8990fff04c42dd4d0d26e176ce0d18ea9742de38,https://static-api.nkstatic.com/appdocs/4/assets/opendata/93899ad8b3667da7dad9a785fd827383_ProfileAvatar63.png,4659,50709,388230928,Potato314,19,167,1251674,,,,,511617,194348000,788,10,1,,4325,2438,899,1138,726,495,1807,1664,4170,2096,465,227,652,1284,1102,2959,1831,1758,346,10425,1464,2569,2607,1608,51,59,222,113,17,41,16,135,259,97,68,84,225,8,235,23,2,0,2,23,0,8,0,0,23,0,0,0,0,0,4,0,2,37,0,0,0,6,10,38,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,702,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9fba43da8dc0aca24d438e49597ae6219e001ebf9f16dd3c,https://static-api.nkstatic.com/appdocs/4/assets/opendata/b1ef093283db879ae51f4dc27b82a5a0_ProfileAvatar37.png,6148,50394,446519656,Czar,22,1864,978129,,,,,466600,336322000,320,0,0,,9318,1147,1123,1228,1220,1142,2193,2761,2574,1090,462,336,445,870,1243,1547,2347,2108,358,4286,1412,5358,2442,343,83,45,347,106,26,134,218,352,137,190,75,254,128,81,660,204,42,133,0,68,8,4,5,161,212,33,7,0,3,69,0,70,6,1,11,555,37,273,141,11,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,758,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9cb91089ddc5fea31f468c195e70b426cc0d1abe9d44da69,https://static-api.nkstatic.com/appdocs/4/assets/opendata/d84627d3e016cfff12b6977db9cb9e0a_ProfileAvatar70.png,62225,224013,1426660282,ISAB,0,0,0,0.0,0.0,0.0,0.0,540500,206441000,2185,53345,93,,14516,6707,8389,9564,12807,2188,3844,6389,7852,4818,1028,2853,1187,8788,1941,4771,16835,7612,531,9770,1709,7334,2623,1286,440,369,2406,632,352,397,311,466,3021,553,1019,178,701,169,1668,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1390,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9fb9438b8992fda219168f4a5c22e225c40519bacb19dd3e,https://static-api.nkstatic.com/appdocs/4/assets/opendata/b2795bc0400051550b15778233a07d77_ProfileAvatar72.png,1870,20084,191520965,KermitTheForg69,21,128,1329794,,,,,507883,209028000,103,4,0,,1613,730,541,494,171,597,960,1142,1689,667,155,79,128,653,265,788,1174,650,279,2871,962,1521,547,227,23,311,49,1,0,1,3,22,5,112,0,1,168,0,477,7,18,3,0,0,1,2,50,1,0,0,0,0,0,3,2,6,12,3,0,7,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,1,12,0,1,0,1023,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9fbe108a8c9fadf018148e4b0d20e5769e5215e99f11d83d,https://static-api.nkstatic.com/appdocs/4/assets/opendata/27759e5e005688c57acaf5cad2c790ac_ProfileAvatar56.png,14082,80795,744775541,BESTBATTLER8,51,794,3678656,,,,,499067,237103000,606,12,1,,9952,2096,1226,2296,1811,1282,3359,5808,5870,2058,1061,484,869,1926,1602,5436,3353,3418,979,9557,3318,5418,2679,1180,126,213,664,46,378,266,79,641,191,253,58,213,53,64,457,54,59,0,0,3,12,6,10,44,106,37,10,1,10,21,0,81,27,22,21,97,6,69,73,62,0,0,9,0,0,0,0,0,1,0,0,7,0,0,0,0,131,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9cea108edf91faac494bdb4d5f73e77fc50014eecf14d86b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/e02ea1ca5d8bf94a54f7dc30a2258c4b_ProfileAvatar110.png,19146,238850,1549001943,Caetano,468,2141,24732812,,,,,497900,211562000,875,247,0,,24970,13640,4022,6039,4939,2370,11668,7358,23264,3645,2569,1094,1785,5002,5734,19245,8746,5309,167,39853,5031,13016,6300,900,286,2010,1004,255,5,763,327,311,876,295,213,300,384,276,1478,167,4,4,59,29,56,204,87,37,38,147,36,39,6,317,33,9,340,29,2,152,5,89,46,0,0,98,2,55,0,0,0,0,0,0,0,0,0,1,217,0,455,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9fbd42d88d92acf61b11da4c5976e174c50648b896418b3d,https://static-api.nkstatic.com/appdocs/4/assets/opendata/ba07ae7b394cd4fa9fc329a100505d5b_ProfileAvatar51.png,8231,101262,1004216281,schnibb,3,52,687495,0.0,0.0,0.0,0.0,545950,212049000,971,8,0,,7354,6070,2563,3597,2200,1264,5395,3218,11498,4224,1100,385,982,3146,2555,6526,4060,4486,529,14908,2264,5252,2041,693,118,168,793,175,37,145,64,92,186,437,103,470,286,36,1711,130,1,1,1,1,0,3,2,1,6,0,1,0,0,0,0,0,8,1,0,13,3,6,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,269,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9cea1188d692f1f41f45d91d097ae7709a031fedcd428b6a,https://static-api.nkstatic.com/appdocs/4/assets/opendata/f9d75c66d6e879caea66060592540877_ProfileAvatar71.png,7447,107076,947217891,DouPPle,31,491,32794098,0.0,0.0,0.0,0.0,526083,220630000,934,3,0,,9724,4235,2053,4431,2148,961,3724,3787,8239,4129,1823,613,1107,2984,2404,9285,3657,6276,555,13466,3373,5587,4393,744,193,234,547,118,46,177,141,235,125,826,139,703,400,24,622,104,0,0,0,3,2,37,56,0,1,0,1,0,0,0,0,25,3,203,1,0,1,5,0,120,0,0,0,0,0,0,1,0,0,0,0,32,0,0,0,0,845,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9fb9428c8992a8a11f138d485c71e6769d051eb8cb44d83d,https://static-api.nkstatic.com/appdocs/4/assets/opendata/27759e5e005688c57acaf5cad2c790ac_ProfileAvatar56.png,2854,52710,310360838,karler,3,305,169147,,,,,335850,368196000,192,584,2,,5033,1241,484,1870,1188,897,2053,2546,4626,1531,482,119,852,1803,2035,2406,1329,1066,291,7770,2726,4659,3838,488,48,57,183,7,0,70,39,158,36,125,1,220,127,10,252,43,7,24,0,0,34,0,42,55,40,1,-2,0,0,-44,0,-18,3,0,8,58,0,30,55,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9cec118d8b96f1a31f118b4a5a76e526ca031eb89e42df38,https://static-api.nkstatic.com/appdocs/4/assets/opendata/2566e9d027fe699d362170b8c8d82ef5_ProfileAvatar43.png,24489,414842,1333632796,Zarrot,12,204,825663,,,,,355667,225164000,345,3627,13,,24602,16147,7165,18911,8869,3968,21085,11116,36415,10857,2195,998,5196,5436,13189,13181,8540,8354,172,71781,13735,28135,42236,322,60,243,1796,12,9,126,181,1995,269,297,81,10,98,0,416,58,7,10,1,0,0,8,5,4,7,13,3,0,2,0,0,1,11,1,0,71,0,18,35,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,856,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9fbe468389c3ffa04a408f4d0d70e275ce561fea9a12da3f,https://static-api.nkstatic.com/appdocs/4/assets/opendata/8c405921ff0379d066d6bbe3276fa8a6_ProfileAvatar02.png,932,12776,65716793,Kungfuszifu,0,0,0,0.0,0.0,0.0,0.0,532550,280581000,75,0,0,,1206,737,190,132,256,95,341,510,1269,602,135,41,53,366,179,856,619,467,48,2725,161,746,568,72,0,1,107,7,0,94,0,2,0,41,6,7,43,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9fbe17dfd8c0f8a14d4a8d1e5974e621ca551dbb9843d130,https://static-api.nkstatic.com/appdocs/4/assets/opendata/c8bf00671de2364f03e72ec73bf26419_ProfileAvatar14.png,14340,78090,991047856,chickenshark,0,69,89229,,,,,521050,288701000,1202,90,0,,7108,3731,1502,2531,2258,1460,4265,2962,5560,1835,1231,862,967,1901,2041,4431,3413,3654,139,10653,1917,5027,4775,761,102,161,536,129,13,127,238,212,224,339,46,163,354,15,322,124,0,0,0,0,5,3,2,0,20,23,0,0,1,0,0,0,0,0,0,0,1,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9fbf158ddb93afac1f4b8a1f5874e122c9574fb89c168e3f,https://static-api.nkstatic.com/appdocs/4/assets/opendata/4f4e181a56ff01af1cfd934d2d8da55d_ProfileAvatar90.png,6320,140466,376346302,Olinequ :),0,0,0,,,,,393783,291584000,692,1912,1,,12366,5515,4131,7648,4008,1781,7437,4141,9867,3886,936,525,1359,2365,3639,5346,3654,3045,42,21893,9340,12139,12835,48,69,39,654,21,4,1,241,567,277,120,38,0,99,0,363,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9fb91fde8c9ef1ac1b46dc190927b573990149e997168e3d,https://static-api.nkstatic.com/appdocs/4/assets/opendata/93899ad8b3667da7dad9a785fd827383_ProfileAvatar63.png,4155,37572,486479660,COCOC98,38,848,10597336,0.0,0.0,0.0,0.0,526817,299262000,280,3,0,,4759,1974,392,599,617,928,2608,1482,1955,1137,558,256,236,1171,322,1505,2391,1219,624,4309,1229,3276,1331,389,47,9,653,85,17,75,54,44,102,98,37,308,308,27,406,34,115,28,3,12,14,45,80,52,56,30,5,8,7,24,10,51,100,28,0,6,43,66,12,13,11,0,0,5,0,0,0,0,5,0,5,7,5,0,2,0,0,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9ced168bdfc7f9f01116871d0c25ef25cd071db8cc41de3c,https://static-api.nkstatic.com/appdocs/4/assets/opendata/3adb5888878230a9d5c5cb15e12f1fe5_ProfileAvatar111.png,30240,265982,1109567048,01191020csl,0,0,7422,,,,,524500,338339000,1257,173,0,,27483,14518,9917,18918,9446,3460,10042,9116,15824,8342,2468,1943,3841,5316,8680,10982,10416,7735,218,33332,7851,16512,17584,641,287,345,1484,556,81,743,197,832,1152,523,230,420,751,61,786,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9fba168cd796aca71111de485e26e076cd514eb496168d6d,https://static-api.nkstatic.com/appdocs/4/assets/opendata/4d406ac8b5d3b1490b813296b824b7ef_ProfileAvatar41.png,5839,66283,609013766,PowerLine629,5,95,203745,,,,,524067,342800000,565,14,0,,6146,4435,911,2373,1103,958,2120,2446,7176,2057,920,310,729,1918,1687,4599,2486,2517,448,7793,2517,3834,2809,598,146,79,463,124,53,259,95,73,343,271,62,122,372,260,530,140,0,0,0,0,5,2,1,1,18,29,3,0,2,2,0,2,6,3,0,0,2,5,1,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,455,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9fbe458bdd9ef1ac1146de420e75e072c85619ef9d43896a,https://static-api.nkstatic.com/appdocs/4/assets/opendata/3e64627d5149f478416ad299581ea3b6_ProfileAvatar76.png,4812,65679,275143066,l,0,0,0,,,,,408300,348276000,244,191,0,,6367,3300,3637,1560,3285,1499,2193,2216,4994,2081,214,545,282,1321,1218,1363,1326,1853,860,9284,3137,6020,3881,1138,48,3,242,4,3,10,49,687,19,100,1,25,449,8,180,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9cb642d9d69ef9f01e4287490b71b070cc554eef9f16df3b,https://static-api.nkstatic.com/appdocs/4/assets/opendata/c9e733296983b2065232101e2cb7fb45_ProfileAvatar21.png,4444,77711,463074557,WinterFox7,0,0,0,,,,,517450,353477000,591,6,0,,7390,3642,1504,1646,1332,671,3662,3734,5361,2908,1243,281,1319,1548,1095,5994,2660,2831,49,15174,2139,5663,2988,244,77,126,831,49,5,98,50,150,306,162,51,50,240,1,157,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,,0,nan
,,https://data.ninjakiwi.com/btd6/users/9fb84389d9c2f0a71f4bdc1e5c72ef759d0218edcb46df39,https://static-api.nkstatic.com/appdocs/4/assets/opendata/50113dcf0d0abda55e034354668add69_ProfileAvatar97.png,1162,11234,180053234,China.kongkong,0,0,0,,,,,308883,366390000,35,43,0,,614,347,80,319,111,102,1323,410,809,590,211,31,48,555,163,208,1093,149,67,970,478,1061,512,102,1,0,361,3,0,4,15,18,0,27,5,75,115,0,195,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,,0,nan
